domain,group,signal_group,source,connector_or_device_pin,target_bank,target_pin_or_lane,rate_or_voltage,dependency,status,evidence_required,schematic_page,notes
LPDDR5,LPDDR5_CTRL0_X32,topology,LPDDR5 device 0 x32,LPDDR5 package pins,A5EC052A B32A EMIF bank group 0,TBD,3733 Mbps/pin target,One LPDDR5 controller per x32 group,assumed_for_rev1,Quartus EMIF IP output; selected LPDDR5 vendor datasheet,SCH_LPDDR5_CTRL0,Rev1 group 0 is one x32 LPDDR5 device driven by one hard memory controller
LPDDR5,LPDDR5_CTRL0_X32,emif_controller,Agilex 5 hard memory controller,TBD,A5EC052A B32A EMIF bank group 0,TBD,LPDDR5 clock 1866.667 MHz target,Exact device/package/speed grade,pending_quartus,Quartus EMIF IP generation report,SCH_LPDDR5_CTRL0,Do not assume higher EMIF enum rates are valid for this device
LPDDR5,LPDDR5_CTRL0_X32,dq_byte_lane_0,LPDDR5 device 0 DQ byte 0,LPDDR5 package pins,A5EC052A B32A EMIF bank group 0,TBD,3733 Mbps/pin target,Byte lane legal placement,pending_pin_planner,Quartus Pin Planner; EMIF IP pinout,SCH_LPDDR5_CTRL0,Include associated DQS/DMI/WCK signals per vendor datasheet
LPDDR5,LPDDR5_CTRL0_X32,dq_byte_lane_1,LPDDR5 device 0 DQ byte 1,LPDDR5 package pins,A5EC052A B32A EMIF bank group 0,TBD,3733 Mbps/pin target,Byte lane legal placement,pending_pin_planner,Quartus Pin Planner; EMIF IP pinout,SCH_LPDDR5_CTRL0,Include associated DQS/DMI/WCK signals per vendor datasheet
LPDDR5,LPDDR5_CTRL0_X32,dq_byte_lane_2,LPDDR5 device 0 DQ byte 2,LPDDR5 package pins,A5EC052A B32A EMIF bank group 0,TBD,3733 Mbps/pin target,Byte lane legal placement,pending_pin_planner,Quartus Pin Planner; EMIF IP pinout,SCH_LPDDR5_CTRL0,Include associated DQS/DMI/WCK signals per vendor datasheet
LPDDR5,LPDDR5_CTRL0_X32,dq_byte_lane_3,LPDDR5 device 0 DQ byte 3,LPDDR5 package pins,A5EC052A B32A EMIF bank group 0,TBD,3733 Mbps/pin target,Byte lane legal placement,pending_pin_planner,Quartus Pin Planner; EMIF IP pinout,SCH_LPDDR5_CTRL0,Completes x32 data path for controller 0
LPDDR5,LPDDR5_CTRL0_X32,address_command,LPDDR5 device 0 CA/control pins,LPDDR5 package pins,A5EC052A B32A EMIF bank group 0,TBD,TBD,Must match selected LPDDR5 component topology,pending_quartus,EMIF IP pinout; vendor datasheet,SCH_LPDDR5_CTRL0,Signal names and count must follow exact component datasheet
LPDDR5,LPDDR5_CTRL0_X32,clock_and_cs,LPDDR5 device 0 CK/CS group,LPDDR5 package pins,A5EC052A B32A EMIF bank group 0,TBD,TBD,EMIF clocking and command topology,pending_quartus,EMIF IP output; vendor datasheet,SCH_LPDDR5_CTRL0,Do not finalize until EMIF IP accepts exact topology
LPDDR5,LPDDR5_CTRL0_X32,reset,LPDDR5 device 0 reset,LPDDR5 package pin,A5EC052A B32A reset/control output,TBD,TBD,Power-good and EMIF reset sequence,pending_reference_design,Agilex 5 reference design; LPDDR5 datasheet,SCH_LPDDR5_CTRL0,Reset release must align with LPDDR5 rail sequencing
LPDDR5,LPDDR5_CTRL0_X32,zq_rzq,LPDDR5 device 0 ZQ / Agilex EMIF RZQ,LPDDR5 package pin and board resistor,A5EC052A B32A EMIF bank group 0,TBD,TBD,Must not share with MIPI calibration resources,pending_quartus,EMIF IP guide; Pin Planner; vendor datasheet,SCH_LPDDR5_CTRL0,Track both memory ZQ and FPGA RZQ requirements separately
LPDDR5,LPDDR5_CTRL0_X32,emif_refclk,Board clock source TBD,TBD,A5EC052A B32A EMIF refclk-capable pin,TBD,TBD,EMIF controller 0 clocking,pending_quartus,EMIF IP guide; Quartus assignment report,SCH_CLOCK_RESET_CONFIG,Confirm frequency and placement before wiring
LPDDR5,LPDDR5_CTRL1_X32,topology,LPDDR5 device 1 x32,LPDDR5 package pins,A5EC052A B32A EMIF bank group 1,TBD,3733 Mbps/pin target,One LPDDR5 controller per x32 group,assumed_for_rev1,Quartus EMIF IP output; selected LPDDR5 vendor datasheet,SCH_LPDDR5_CTRL1,Rev1 group 1 is one x32 LPDDR5 device driven by one hard memory controller
LPDDR5,LPDDR5_CTRL1_X32,emif_controller,Agilex 5 hard memory controller,TBD,A5EC052A B32A EMIF bank group 1,TBD,LPDDR5 clock 1866.667 MHz target,Exact device/package/speed grade,pending_quartus,Quartus EMIF IP generation report,SCH_LPDDR5_CTRL1,Do not assume higher EMIF enum rates are valid for this device
LPDDR5,LPDDR5_CTRL1_X32,dq_byte_lane_0,LPDDR5 device 1 DQ byte 0,LPDDR5 package pins,A5EC052A B32A EMIF bank group 1,TBD,3733 Mbps/pin target,Byte lane legal placement,pending_pin_planner,Quartus Pin Planner; EMIF IP pinout,SCH_LPDDR5_CTRL1,Include associated DQS/DMI/WCK signals per vendor datasheet
LPDDR5,LPDDR5_CTRL1_X32,dq_byte_lane_1,LPDDR5 device 1 DQ byte 1,LPDDR5 package pins,A5EC052A B32A EMIF bank group 1,TBD,3733 Mbps/pin target,Byte lane legal placement,pending_pin_planner,Quartus Pin Planner; EMIF IP pinout,SCH_LPDDR5_CTRL1,Include associated DQS/DMI/WCK signals per vendor datasheet
LPDDR5,LPDDR5_CTRL1_X32,dq_byte_lane_2,LPDDR5 device 1 DQ byte 2,LPDDR5 package pins,A5EC052A B32A EMIF bank group 1,TBD,3733 Mbps/pin target,Byte lane legal placement,pending_pin_planner,Quartus Pin Planner; EMIF IP pinout,SCH_LPDDR5_CTRL1,Include associated DQS/DMI/WCK signals per vendor datasheet
LPDDR5,LPDDR5_CTRL1_X32,dq_byte_lane_3,LPDDR5 device 1 DQ byte 3,LPDDR5 package pins,A5EC052A B32A EMIF bank group 1,TBD,3733 Mbps/pin target,Byte lane legal placement,pending_pin_planner,Quartus Pin Planner; EMIF IP pinout,SCH_LPDDR5_CTRL1,Completes x32 data path for controller 1
LPDDR5,LPDDR5_CTRL1_X32,address_command,LPDDR5 device 1 CA/control pins,LPDDR5 package pins,A5EC052A B32A EMIF bank group 1,TBD,TBD,Must match selected LPDDR5 component topology,pending_quartus,EMIF IP pinout; vendor datasheet,SCH_LPDDR5_CTRL1,Signal names and count must follow exact component datasheet
LPDDR5,LPDDR5_CTRL1_X32,clock_and_cs,LPDDR5 device 1 CK/CS group,LPDDR5 package pins,A5EC052A B32A EMIF bank group 1,TBD,TBD,EMIF clocking and command topology,pending_quartus,EMIF IP output; vendor datasheet,SCH_LPDDR5_CTRL1,Do not finalize until EMIF IP accepts exact topology
LPDDR5,LPDDR5_CTRL1_X32,reset,LPDDR5 device 1 reset,LPDDR5 package pin,A5EC052A B32A reset/control output,TBD,TBD,Power-good and EMIF reset sequence,pending_reference_design,Agilex 5 reference design; LPDDR5 datasheet,SCH_LPDDR5_CTRL1,Reset release must align with LPDDR5 rail sequencing
LPDDR5,LPDDR5_CTRL1_X32,zq_rzq,LPDDR5 device 1 ZQ / Agilex EMIF RZQ,LPDDR5 package pin and board resistor,A5EC052A B32A EMIF bank group 1,TBD,TBD,Must not share with MIPI calibration resources,pending_quartus,EMIF IP guide; Pin Planner; vendor datasheet,SCH_LPDDR5_CTRL1,Track both memory ZQ and FPGA RZQ requirements separately
LPDDR5,LPDDR5_CTRL1_X32,emif_refclk,Board clock source TBD,TBD,A5EC052A B32A EMIF refclk-capable pin,TBD,TBD,EMIF controller 1 clocking,pending_quartus,EMIF IP guide; Quartus assignment report,SCH_CLOCK_RESET_CONFIG,Confirm frequency and placement before wiring
MIGRATION,KU040_REMOVAL,main_controller_ownership,Old U14 XCKU040 control domain,TBD,A5EC/A5ED Agilex 5 target domain,TBD,TBD,KU040 must not remain as dual-option owner,assumed_for_rev1,User 2026-05-08 input; updated design evidence,SCH_A5E_SYMBOL,Target Rev1 deletes KU040 and reassigns old KU040-owned interfaces
GPIO,DECODER_GPIO_VADJ,topology,Decoder board ordinary GPIO,connector pins TBD,A5EC052A B32A HSIO VCCIO_PIO sub-banks,TBD,1.2V-1.8V adjustable,168 ordinary GPIO from decoder board; non-MIPI; non-high-speed,assumed_for_rev1,ku040_removal_gpio_bank_allocation_20260508.md; connector pin map; Pin Planner,SCH_DECODER_GPIO_VADJ,Use HSIO VCCIO_PIO not HVIO when 1.2V support is required
GPIO,DECODER_GPIO_VADJ,capacity_a5ec_placeholder,A5EC052A_B32A local pinout,TBD,8 HSIO sub-banks x 48 pins,384 raw HSIO GPIO pins,1.2V-1.8V via VCCIO_PIO,Must also fit LPDDR5 and MIPI,pending_quartus,Local pinout JSON; Quartus exact device resource report,SCH_DECODER_GPIO_VADJ,Raw count can fit 168 GPIO but legality depends on EMIF and MIPI placement
GPIO,DECODER_GPIO_VADJ,capacity_a5ed_risk,A5ED052A_B32A local pinout,TBD,4 HSIO sub-banks x 48 pins,192 raw HSIO GPIO pins,1.2V-1.8V via VCCIO_PIO,168 GPIO consumes nearly all HSIO before LPDDR5 and MIPI,pending_quartus,Local pinout JSON; final ordering code; Quartus exact device resource report,SCH_DECODER_GPIO_VADJ,A5EC/A5ED is now a resource-capacity risk not only naming cleanup
GPIO,DEC_GPIO_VADJ_G0,gpio_group,Decoder GPIO[0:41],connector pins TBD,GPIO_VADJ_BANK0 -> HSIO VCCIO_PIO sub-bank TBD,42 of 48 pins,1.2V-1.8V adjustable,VADJ_GPIO_0 or shared VADJ_GPIO rail,pending_pin_planner,Connector pin map; Quartus Pin Planner; IO standard selection,SCH_DECODER_GPIO_VADJ,Reserve 6 spare pins in this bank for pin escape and direction correction
GPIO,DEC_GPIO_VADJ_G1,gpio_group,Decoder GPIO[42:83],connector pins TBD,GPIO_VADJ_BANK1 -> HSIO VCCIO_PIO sub-bank TBD,42 of 48 pins,1.2V-1.8V adjustable,VADJ_GPIO_1 or shared VADJ_GPIO rail,pending_pin_planner,Connector pin map; Quartus Pin Planner; IO standard selection,SCH_DECODER_GPIO_VADJ,Reserve 6 spare pins in this bank for pin escape and direction correction
GPIO,DEC_GPIO_VADJ_G2,gpio_group,Decoder GPIO[84:125],connector pins TBD,GPIO_VADJ_BANK2 -> HSIO VCCIO_PIO sub-bank TBD,42 of 48 pins,1.2V-1.8V adjustable,VADJ_GPIO_2 or shared VADJ_GPIO rail,pending_pin_planner,Connector pin map; Quartus Pin Planner; IO standard selection,SCH_DECODER_GPIO_VADJ,Reserve 6 spare pins in this bank for pin escape and direction correction
GPIO,DEC_GPIO_VADJ_G3,gpio_group,Decoder GPIO[126:167],connector pins TBD,GPIO_VADJ_BANK3 -> HSIO VCCIO_PIO sub-bank TBD,42 of 48 pins,1.2V-1.8V adjustable,VADJ_GPIO_3 or shared VADJ_GPIO rail,pending_pin_planner,Connector pin map; Quartus Pin Planner; IO standard selection,SCH_DECODER_GPIO_VADJ,Reserve 6 spare pins in this bank for pin escape and direction correction
GPIO,DECODER_GPIO_VADJ,candidate_bank_pool_a5ec,Agilex 5 A5EC052A_B32A local pinout,TBD,2A_B;2A_T;2B_B;2B_T;3A_B;3A_T;3B_B;3B_T,4 banks required from this pool,1.2V-1.8V adjustable,Must avoid LPDDR5 EMIF and MIPI banks,pending_pin_planner,Quartus Pin Planner; MIPI IP; EMIF IP,SCH_DECODER_GPIO_VADJ,3A_T is SDM shared HSIO and requires config-mode confirmation
GPIO,DECODER_GPIO_VADJ,vadj_power_plan,Adjustable GPIO bank rail,TBD,VCCIO_PIO for four GPIO groups,TBD,1.2V-1.8V adjustable,Each HSIO sub-bank supports only one I/O voltage,pending_reference_design,Power tree design; IO guide; regulator datasheet,SCH_POWER_TREE,Use one shared VADJ_GPIO only if all 168 GPIO always share the same voltage
POWER,POWER_SEQ,dc24v_input,DF108 external DC24V input,Power connector,LM5060 input,TBD,DC24V input range TBD,External power specification,assumed_for_rev1,Old LM5060 schematic; DF108 input power spec,SCH_POWER_ENTRY,Reuse mature input topology but verify limits against this revision
POWER,POWER_SEQ,lm5060_hot_swap,LM5060 front-end,LM5060 output,Downstream POL input,TBD,TBD,Current limit; timer; inrush; MOSFET SOA,pending_reference_design,Old proven LM5060 parameters; new load estimate; MOSFET datasheet,SCH_POWER_ENTRY,Topology reusable; parameter closure required before release
POWER,POWER_SEQ,inrush_bulk_cap,Downstream bulk capacitance,TBD,LM5060 output and POL inputs,TBD,TBD,All Agilex 5 and LPDDR5 rails startup load,pending_datasheet,Power tree load table; capacitor list; LM5060 calculation,SCH_POWER_ENTRY,Do not copy old timer/current limit without recalculation
POWER,POWER_SEQ,agilex_core_rails,POL converters TBD,TBD,A5EC052A B32A core rail pins,TBD,TBD,Agilex 5 rail voltage tolerance and sequence,pending_datasheet,Agilex 5 power management guide; reference design,SCH_POWER_TREE,Exact rail names and current budgets must come from official docs
POWER,POWER_SEQ,agilex_hsio_mipi_rails,POL converters TBD,TBD,A5EC052A B32A MIPI HSIO bank supply pins,TBD,TBD,MIPI-capable HSIO bank voltage and sequencing,pending_datasheet,Agilex 5 IO user guide; MIPI IP guide,SCH_POWER_TREE,Confirm bank supply compatibility before MIPI pin assignment
POWER,POWER_SEQ,agilex_emif_rails,POL converters TBD,TBD,A5EC052A B32A EMIF bank supply pins,TBD,TBD,Two LPDDR5 x32 controller bank supplies,pending_datasheet,EMIF IP guide; Agilex 5 power guide,SCH_POWER_TREE,Must support both LPDDR5 controller groups
POWER,POWER_SEQ,lpddr5_ctrl0_rails,POL converters TBD,LPDDR5 device 0 power pins,LPDDR5 device 0,TBD,TBD,LPDDR5 vendor rail sequence,pending_datasheet,Selected LPDDR5 vendor datasheet,SCH_POWER_TREE,Include all required LPDDR5 rails and decoupling domains
POWER,POWER_SEQ,lpddr5_ctrl1_rails,POL converters TBD,LPDDR5 device 1 power pins,LPDDR5 device 1,TBD,TBD,LPDDR5 vendor rail sequence,pending_datasheet,Selected LPDDR5 vendor datasheet,SCH_POWER_TREE,Include all required LPDDR5 rails and decoupling domains
POWER,POWER_SEQ,pg_flt_chain,LM5060 PG/FLT and POL PG outputs,TBD,A5EC052A B32A reset/config supervisor inputs,TBD,TBD,Power-good dependency chain,pending_reference_design,Agilex 5 reference design; power sequencer datasheet,SCH_POWER_TREE,Connect PG/FLT into reset sequencing without claiming closure
CLOCK_RESET_CONFIG,CLOCK_RESET_CONFIG,system_reference_clock,Board clock source TBD,TBD,A5EC052A B32A clock input,TBD,TBD,System architecture clock tree,pending_reference_design,Agilex 5 reference design; existing DF108 clock plan,SCH_CLOCK_RESET_CONFIG,Confirm frequency; jitter; pin type before final page wiring
CLOCK_RESET_CONFIG,CLOCK_RESET_CONFIG,mipi_refclk,Board clock source TBD,TBD,A5EC052A B32A MIPI refclk-capable pin,TBD,TBD,MIPI D-PHY IP clock requirement,pending_quartus,MIPI IP guide; Quartus assignment report,SCH_CLOCK_RESET_CONFIG,May be shared only if IP and placement rules allow
CLOCK_RESET_CONFIG,CLOCK_RESET_CONFIG,emif0_refclk,Board clock source TBD,TBD,A5EC052A B32A EMIF0 refclk-capable pin,TBD,TBD,LPDDR5 controller 0,pending_quartus,EMIF IP output; Quartus assignment report,SCH_CLOCK_RESET_CONFIG,Keep separate row from EMIF1 until clocking architecture is proven
CLOCK_RESET_CONFIG,CLOCK_RESET_CONFIG,emif1_refclk,Board clock source TBD,TBD,A5EC052A B32A EMIF1 refclk-capable pin,TBD,TBD,LPDDR5 controller 1,pending_quartus,EMIF IP output; Quartus assignment report,SCH_CLOCK_RESET_CONFIG,Keep separate row from EMIF0 until clocking architecture is proven
CLOCK_RESET_CONFIG,CLOCK_RESET_CONFIG,global_por_reset,Power-good supervisor TBD,TBD,A5EC052A B32A reset pins,TBD,TBD,LM5060 and POL PG chain,pending_reference_design,Agilex 5 reference design; power sequencer plan,SCH_CLOCK_RESET_CONFIG,Reset deassertion must follow rail readiness
CLOCK_RESET_CONFIG,CLOCK_RESET_CONFIG,configuration_boot,Configuration device or mode straps TBD,TBD,A5EC052A B32A configuration pins,TBD,TBD,Target boot/configuration mode,pending_reference_design,Agilex 5 configuration user guide; reference design,SCH_CLOCK_RESET_CONFIG,Do not freeze mode straps before final A5EC/A5ED decision
CLOCK_RESET_CONFIG,CLOCK_RESET_CONFIG,jtag_debug,JTAG connector or chain TBD,TBD,A5EC052A B32A JTAG pins,TBD,TBD,Bring-up and board test access,pending_reference_design,Existing DF108 debug plan; Agilex 5 reference design,SCH_CLOCK_RESET_CONFIG,Keep accessible for first-board bring-up
NAMING,NAMING,symbol_value,A5EC052A B32A placeholder,CAD symbol value,A5ED052AB32AE2V final target,TBD,TBD,Final order code cleanup,naming_cleanup,Official Intel ordering code; pinout/package mapping,SCH_A5E_SYMBOL,Current placeholder is not a design error for rev1
NAMING,NAMING,bom_value,A5EC052A B32A placeholder,BOM item value,A5ED052AB32AE2V final target,TBD,TBD,Procurement and formal release cleanup,naming_cleanup,Official Intel ordering code; distributor or Intel record,SCH_A5E_SYMBOL,Do not release with mixed A5EC/A5ED values
NAMING,NAMING,pst_export_value,A5EC052A B32A placeholder,PST export value,A5ED052AB32AE2V final target,TBD,TBD,Netlist consistency cleanup,naming_cleanup,Final CAD symbol/BOM/PST export,SCH_A5E_SYMBOL,Formal review needs one normalized target string
NAMING,NAMING,package_mapping,A5EC052A B32A placeholder,B32A package,A5ED052AB32AE2V final target,B32A,TBD,Confirm placeholder package maps to final target,naming_cleanup,Official pinout/package document; Quartus exact device selection,SCH_A5E_SYMBOL,C/D naming remains a TODO until official evidence is attached
NAMING,NAMING,hps_usage_decision,A5ED target option,TBD,A5ED HPS-capable device,TBD,TBD,System architecture decision,pending_reference_design,Project requirement baseline; Agilex 5 reference design,SCH_A5E_SYMBOL,Decide whether HPS is used or only procurement/roadmap option
